scene_id,attempt_id,kind,geometry_arc_id,source_node,target_node,source_port,target_port,source_rank,target_rank,accepted,reason,ik_calls_after,elapsed_s,max_position_error_m,max_axis_error_deg,min_sigma5,min_joint_margin,collision_free,projection_residual_max_m
H03,1151,off_reconfiguration,-1,128,130,32,32,1,3,True,accepted,96969,0.09144283086061478,2.2265720210995213e-05,4.829673078902935e-06,0.6372641006197819,0.017928025318194263,True,0.9817489962208593
H03,1152,source,384,750,754,194,195,0,0,True,accepted,97178,0.18850140273571014,1.4362198638621174e-05,0.0035214157711115066,0.4839318336521781,0.15296642739736468,True,3.4492696726895478e-06
H03,1153,cross_port,854,306,915,79,237,0,0,True,accepted,97193,0.01769167184829712,9.459716285740992e-06,0.0013393909968667246,0.7142031270898729,0.28285067765487154,True,8.669576258418799e-06
H03,1154,off_reconfiguration,-1,129,127,32,32,2,0,True,accepted,97195,0.06528843194246292,3.143404401705634e-05,0.0021371451744063544,0.6372859951592453,0.013147769334663908,True,0.7798980004416876
H03,1155,source,385,754,750,195,194,0,0,True,accepted,97404,0.18896476924419403,1.4362198638621174e-05,0.0035214157711115066,0.48393197840771335,0.15296642589506348,True,3.4492696726895478e-06
H03,1156,cross_port,855,306,239,79,61,0,0,True,accepted,97435,0.030925482511520386,9.459716285767057e-06,0.0013393909968667246,0.6944731919532298,0.284232683069999,True,8.669576258418799e-06
H03,1157,off_reconfiguration,-1,129,128,32,32,2,1,True,accepted,97437,0.06481142342090607,2.2265720210995213e-05,1.7203062292734435e-05,0.6372641006197819,0.013147769334663908,True,0.953651560131919
H03,1158,source,386,754,758,195,196,0,0,True,accepted,97639,0.18567626178264618,1.4362198638621174e-05,0.0035214157711115066,0.4849467219857743,0.19076969169431257,True,3.4492696726895478e-06
H03,1159,cross_port,856,306,881,79,228,0,0,True,accepted,97671,0.032076962292194366,9.459716285767057e-06,0.0013393909968667246,0.6622253561502307,0.2740388335767868,True,8.669576258418799e-06
H03,1160,off_reconfiguration,-1,129,130,32,32,2,3,True,accepted,97673,0.10180573910474777,6.052755178979763e-06,1.7203062292734435e-05,0.6373251113945797,0.013147769334663908,True,1.0892441929048702
H03,1161,source,387,758,754,196,195,0,0,True,accepted,97875,0.18662859499454498,1.4362198638621174e-05,0.0035214157711115066,0.4849467219857743,0.19076969169431257,True,3.4492696726895478e-06
H03,1162,cross_port,857,306,271,79,70,0,0,True,accepted,97922,0.04560035467147827,9.459716285767057e-06,0.0013393909968667246,0.6371095926847286,0.26497421095527357,True,8.669576258418799e-06
H03,1163,off_reconfiguration,-1,130,127,32,32,3,0,True,accepted,97924,0.04762151092290878,3.143404401705634e-05,0.0021371451744063544,0.6372859951592453,0.13319098187613762,True,1.032992344360149
H03,1164,source,388,758,762,196,197,0,0,True,accepted,98128,0.182146318256855,2.9016152232307006e-06,0.0011064277306662572,0.6527017659777774,0.2828701025146981,True,2.1796950472885435e-06
H03,1165,cross_port,858,309,616,80,160,0,0,True,accepted,98143,0.017370976507663727,6.012194939332822e-07,0.00010577494013107301,0.7062131076939707,0.27755541017581575,True,4.751944202296965e-07
H03,1166,off_reconfiguration,-1,130,128,32,32,3,1,True,accepted,98145,0.09072782099246979,2.2265720210995213e-05,4.829673078902935e-06,0.6372641006197819,0.017928025318194263,True,0.9817489962208593
H03,1167,source,389,762,758,197,196,0,0,True,accepted,98349,0.17958631366491318,2.9016152232307006e-06,0.0011078064269890056,0.6527017659777774,0.2828701025146981,True,2.1796950472885435e-06
