E_NUC,E_miss,E_rep,L_S,NUC_generation_time,canonical_layout,evaluation_surface_hash,expansion_policy,geometry_baseline,layout_id,local_refinement_time,mapped_face,mapped_position,mapping_distance_m,max_visit_count,overlap_area_fraction,physical_root_position,remesh_id,root_id,single_coverage_fraction,skeleton_fingerprint,surface_id
0.680111539500136,0.2992616293412095,0.38084991015892655,9.762824823033048,0.00232602097094059,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R04_M02,0.03689510840922594,87,"[0.07227173252721868, 0.11845225699119719, 0.0024014319178465443]",0.0006494619335545226,7,0.27949075730746564,"[0.07272568970885589, 0.1189062141728344, 0.002499648808534354]",M02,R04,0.4212476133513249,c9af3ad9f9b2e7f541fe7a93ab42ae85e05625d02370b0f0730db3dfa52a078e,hemisphere
0.6523353225160973,0.309761292268437,0.3425740302476602,9.542344294868428,0.0023521995171904564,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R05_M02,0.03733134549111128,72,"[-0.11315909428408488, -0.0075594656475465654, 0.078517272367662]",0.0012158981946608011,7,0.2567995945848142,"[-0.11421285213830229, -0.007841819213602073, 0.0790541888119904]",M02,R05,0.4334391131467489,826584bba5f102e3a3e3b5acab37717db7c6310593cada039fb5110425a31e99,hemisphere
0.651110419396066,0.309761292268437,0.341349127127629,9.545722831883548,0.00238054059445858,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R06_M02,0.04160379059612751,78,"[0.028487970729751524, -0.10991510627000728, 0.07387807716389876]",0.004068729534047172,7,0.2572218074756352,"[0.02943280336318928, -0.11344126966264609, 0.07567474715152385]",M02,R06,0.4330169002559278,3681a5faebe6fcf9ff80bc88d22beb672917dc75eb1c8cf7f5fc20d7a7cd6f9c,hemisphere
0.6538439997852347,0.3094716629159567,0.344372336869278,9.545722831883548,0.0024316580966115,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R07_M02,0.04198261629790068,66,"[-0.002328434004110839, 0.11518508122881455, 0.0772919435035024]",0.0007137447527651367,6,0.25615091045353666,"[-0.0024941784530141966, 0.11580364793319438, 0.07760711898159382]",M02,R07,0.4343774266305067,e170c482b0cd1a1d167b5375838373c63e0857b1d9f881bb0b42a049c9cc65a0,hemisphere
0.5513468848805243,0.3688076303570618,0.1825392545234625,8.389963098013762,0.0023156115785241127,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,True,R00_M03,0.03667780011892319,0,"[0.027035619043237754, 0.007244172289511037, 0.135566925249901]",0.001216429430900487,5,0.1507562893298972,"[0.027208388989726925, 0.007334172982327683, 0.13676765460377036]",M03,R00,0.4804360803130411,d9558056b4070aebb144cfac1d21beb69f27625e372a6c4ef2ad51cc8c6c3deb,hemisphere
0.568390892457216,0.38305011400162386,0.1853407784555921,8.284399241125346,0.002268237993121147,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R01_M03,0.037323606200516224,98,"[-0.04828180916101168, -0.128201195793874, 0.0004132278569402917]",0.0018661514183021335,4,0.1494705730155911,"[-0.049204153467517525, -0.12979874299481403, 0.0006954423800535112]",M03,R01,0.46747931298278506,5b4fc3668502a4fbf0fd4c00a60877222d4b2dc9c3349c6f854a2ee1876e9d5d,hemisphere
0.5808933001944347,0.38492853281446493,0.1959647673799698,8.354541118580903,0.0022717490792274475,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R02_M03,0.03993862774223089,93,"[-0.11011272900547181, 0.07966225941964251, 0.000248813410730922]",0.002953346537101515,5,0.1485903576733644,"[-0.1126409860630074, 0.08112194931239125, 0.0006954423800535112]",M03,R02,0.4664811095121707,4152abce30347f1c5b645282f00891f80ce5049f4c8eb67745fd0b929b77402b,hemisphere
0.581465675679686,0.38492853281446493,0.19653714286522106,8.357919655596028,0.0023324303328990936,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R03_M03,0.04247196111828089,105,"[0.12820119579387398, -0.04828180916101175, 0.00041322785694028474]",0.0018661514183021413,5,0.1489076934638203,"[0.129798742994814, -0.04920415346751761, 0.0006954423800535112]",M03,R03,0.46616377372171475,24ac41430d9ba24044c2ee7b2745aae3b768351565584d5ec921b39302caa1c1,hemisphere
0.5689632679424672,0.38305011400162386,0.18591315394084335,8.287777778140464,0.0023055821657180786,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R04_M03,0.03728547878563404,86,"[0.07053132593826861, 0.11510546463188881, 0.0018282278210733395]",0.004439790037047611,4,0.1497878821034478,"[0.07272568970885589, 0.1189062141728344, 0.002499648808534354]",M03,R04,0.4671620038949284,9cb54c8ed73df3a878bc7c86d56de734cff051daf3070f09521e0e7004014105,hemisphere
0.5718226341123189,0.3764427786326613,0.1953798554796577,8.4270524939301,0.0023545362055301666,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R05_M03,0.03915495611727238,70,"[-0.1116229210615345, -0.007841819213602073, 0.07777951851529047]",0.00288661174176519,5,0.14349208358562573,"[-0.11421285213830229, -0.007841819213602073, 0.0790541888119904]",M03,R05,0.4800651377817131,5639c9aa7f75d4db6369d286f97aeea4969e45c496b071ff6c01df63d0593a4e,hemisphere
0.5692683071081653,0.3748475387969086,0.19442076831125674,8.435997044177348,0.0023373495787382126,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R06_M03,0.03739138878881931,77,"[0.02943280336318928, -0.11281138681225075, 0.0753647416201019]",0.0007020369183556935,5,0.1398562460912677,"[0.02943280336318928, -0.11344126966264609, 0.07567474715152385]",M03,R06,0.4852962151118237,e7d9dd3c9ff2cac1b73a6fe57e3556218de5819dabcc1e3d177d5874a54f4d68,hemisphere
0.5704131114838662,0.3748475387969086,0.1955655726869576,8.442754118207583,0.002339146099984646,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R07_M03,0.034183675423264503,65,"[-0.0024941784530141987, 0.11250643735210439, 0.07598435132287865]",0.0036749112220873757,5,0.140490864266981,"[-0.0024941784530141966, 0.11580364793319438, 0.07760711898159382]",M03,R07,0.48466159693611033,a8af347a1119d70c0eb08db1e6015a563d4b781d8e2857f860191b2ad9573480,hemisphere
0.6040177400102164,0.30258566722049673,0.3014320727897196,5.1886056517833,0.002816871739923954,True,57475ad9c3ddb03cf9ac834a3566f3114373fb9f11e1159a378891ea7f9db1b4,upstream_first,False,R00_M00,0.023259366862475872,0,"[-0.09333333333333332, -0.10666666666666665, -0.003999999999999997]",8.673617379884035e-19,2,0.3014320727897196,"[-0.09333333333333332, -0.10666666666666665, -0.0039999999999999975]",M00,R00,0.39598225998978365,14f5b1111285e66fefa145c05ba2c32ab6fdd18002e230c406c8b1abe8a1f094,saddle
