layout_a,layout_b,ordered_path_distance_m,root_separation_m,same_remesh,same_root,surface_id,tangent_disagreement_rad,tree_edge_jaccard
R03_M01,R04_M02,0.0903671552039918,0.17628006052007966,False,False,saddle,1.6573548884336298,
R03_M01,R05_M02,0.15977252903112354,0.32522711228670387,False,False,saddle,1.4329952449500458,
R03_M01,R06_M02,0.10668023251428765,0.12467479149085658,False,False,saddle,1.7410960629314218,
R03_M01,R07_M02,0.15252131560693233,0.34306397327789784,False,False,saddle,1.4443422884120065,
R03_M01,R00_M03,0.1209628839952192,0.2371448503244675,False,False,saddle,1.5478050165296044,
R03_M01,R01_M03,0.1138770734850511,0.24553931105559418,False,False,saddle,1.6391509360281749,
R03_M01,R02_M03,0.15360724783812116,0.4778259848870271,False,False,saddle,1.52814352299005,
R03_M01,R03_M03,0.0649830931519154,0.0,False,True,saddle,1.3951727518870445,
R03_M01,R04_M03,0.06580534412410223,0.17628006052007966,False,False,saddle,1.351128016721591,
R03_M01,R05_M03,0.1619997852062609,0.32522711228670387,False,False,saddle,1.6156019581232348,
R03_M01,R06_M03,0.1015185575652318,0.12467479149085658,False,False,saddle,1.6925391899914595,
R03_M01,R07_M03,0.15677816918306103,0.34306397327789784,False,False,saddle,1.6706784031955133,
R04_M01,R05_M01,0.16304919535454732,0.15284522245337578,True,False,saddle,1.6831580059132312,0.4791666666666667
R04_M01,R06_M01,0.13837550499986445,0.11286919897997438,True,False,saddle,1.5599368469595143,0.3786407766990291
R04_M01,R07_M01,0.16318935331398898,0.17068208344456984,True,False,saddle,1.590938303451989,0.22413793103448276
R04_M01,R00_M02,0.12654221986001207,0.17598382343965102,False,False,saddle,1.5591074993378813,
R04_M01,R01_M02,0.10748431534395682,0.17685875809446694,False,False,saddle,1.5895236262969947,
R04_M01,R02_M02,0.17187274237393066,0.305444095053699,False,False,saddle,1.741929693493763,
R04_M01,R03_M02,0.06412793597670913,0.17628006052007963,False,False,saddle,1.4543715294550368,
R04_M01,R04_M02,0.07231567380070572,0.0,False,True,saddle,1.5200241290356569,
R04_M01,R05_M02,0.1641846284330062,0.15284522245337578,False,False,saddle,1.6506984446694035,
R04_M01,R06_M02,0.1065632304237561,0.11286919897997438,False,False,saddle,1.5103589731665028,
R04_M01,R07_M02,0.16505387594183923,0.17068208344456984,False,False,saddle,1.6151235176817949,
R04_M01,R00_M03,0.1274456180908688,0.17598382343965102,False,False,saddle,1.7010882293690237,
R04_M01,R01_M03,0.0926374517404348,0.17685875809446694,False,False,saddle,1.411310138865897,
R04_M01,R02_M03,0.16823145786775495,0.305444095053699,False,False,saddle,1.7004074083006542,
R04_M01,R03_M03,0.060137798878190964,0.17628006052007963,False,False,saddle,1.3711960831543126,
R04_M01,R04_M03,0.05982487570894517,0.0,False,True,saddle,1.405529458965126,
R04_M01,R05_M03,0.16229074872101454,0.15284522245337578,False,False,saddle,1.5749183070397133,
R04_M01,R06_M03,0.10818973327433418,0.11286919897997438,False,False,saddle,1.5753711564543933,
R04_M01,R07_M03,0.16198616703836083,0.17068208344456984,False,False,saddle,1.5496932662150977,
R05_M01,R06_M01,0.09131288315609286,0.20265229359919146,True,False,saddle,1.5293707109324561,0.27927927927927926
R05_M01,R07_M01,0.12688750964288126,0.10694380958639621,True,False,saddle,1.595039265709026,0.23478260869565218
R05_M01,R00_M02,0.15730276960528577,0.17415469627179855,False,False,saddle,1.6919375814056727,
R05_M01,R01_M02,0.11625685953679879,0.19344491910068237,False,False,saddle,1.5980134657971639,
