scene_id,k,method,edge_ids_sha256,screen_status,E_miss_Q2,E_rep_Q2,E_miss_Q3,E_rep_Q3,seconds
T33,2,B,476313ab814e850d3c24d7d424cf59fcce34ca4b08c5e2a66b9147a9ff9b293b,SCREEN_NOT_RUN,0.016949860263967307,0.040971671841976115,,,0.0
T33,2,B,b51183aadae4204b38023793526877c9ed1319ae7924dbcdc4c04fd6ba1b9a0a,SCREEN_NOT_RUN,0.017120272153664053,0.04105652446356423,,,0.0
T33,2,B,6174be5836beb4e4156a7732bca60e903e9d4b057e5c31e2c9d5dde490ac7ba1,SCREEN_NOT_RUN,0.016694299460178665,0.041484047375135454,,,0.0
T33,2,A,9c37a2675de9be6ba904c50a1bf470924419a38468018d3beed219ab4af65707,SCREEN_NOT_RUN,0.017692351166802414,0.07289272208184515,,,0.0
T33,2,A,be30d1dae0327a4eaead1d9ed0754b24113f3643f7858ab829d725b3f7906e00,SCREEN_NOT_RUN,0.019138263909807746,0.08112955687048708,,,0.0
T33,2,A,d77f91258db67277838a68bc9c57406bfa0a4223831cc56f0b11ad6f7fbd4b84,SCREEN_NOT_RUN,0.017692351166802414,0.0749334924259443,,,0.0
T33,2,A,9e186b8b97f621465b7cc8b8e37efa8410be785e9f605e25d39c8dc98121ed04,SCREEN_NOT_RUN,0.017692351166802414,0.07508321851814985,,,0.0
T33,2,A,57d88235ad39a787ea0120e315563ef50b1828c7e70a8ff6981542b41275fb00,SCREEN_NOT_RUN,0.016694299460178665,0.04063210198816488,,,0.0
T33,2,A,476313ab814e850d3c24d7d424cf59fcce34ca4b08c5e2a66b9147a9ff9b293b,SCREEN_NOT_RUN,0.016949860263967307,0.040971671841976316,,,0.0
T33,2,A,b51183aadae4204b38023793526877c9ed1319ae7924dbcdc4c04fd6ba1b9a0a,SCREEN_NOT_RUN,0.017120272153664053,0.041056524463564434,,,0.0
T33,2,A,6174be5836beb4e4156a7732bca60e903e9d4b057e5c31e2c9d5dde490ac7ba1,SCREEN_NOT_RUN,0.016694299460178665,0.041484047375135655,,,0.0
